object_id,object_name,object_kind,identifier_parameters_json,attributes_count,attributes_json,applicable_nf_json,applicable_products_json,category_path_json,description,commands_count
CPCGGRP,CPCGGRP,group,"[""CPCGGRPID""]",2,"[{""parameter_name"": ""CPCGGRPID"", ""data_type"": ""integer"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""DESCRIPTION"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-C"", ""SGW-C"", ""SMF""]","[""UNC""]","[""业务服务管理"", ""会话管理"", ""计费管理"", ""离线计费"", ""GTPP信令"", ""CG组管理"", ""抄送CG组""]",此命令用来增加抄送CG组，配置抄送CG组描述信息。,4
CPDATAFLOWCTRL,CPDATAFLOWCTRL,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""Pre 5G接入业务管理"", ""控制面管理"", ""操作维护"", ""设备管理"", ""流控管理"", ""业务流控管理"", ""CP Data控制管理""]",**适用网元：MME**,2
CPFLOWFILTER,CPFLOWFILTER,filter,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""N4 GTP-U管理"", ""流过滤器""]",,3
CPGTPUADDR,CPGTPUADDR,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""N4 GTP-U管理"", ""N4 GTP-U地址管理""]",,3
CPGTPUPARA,CPGTPUPARA,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""N4 GTP-U管理"", ""N4 GTP-U路径参数管理""]",,2
CPINFO,CPINFO,entity,[],8,"[{""parameter_name"": ""CPIPV4"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“IPVERSION”配置为“IPV4”时为必选参数。""}, {""parameter_name"": ""CPIPV6"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“IPVERSION”配置为“IPV6”时为必选参数。""}, {""parameter_name"": ""QUERYTYPE"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""IPVERSION"", ""data_type"": ""enum"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“QUERYTYPE”配置为“IP”时为必选参数。""}, {""parameter_name"": ""CPNODEIDTYPE"", ""data_type"": ""enum"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“QUERYTYPE”配置为“NODEID”时为必选参数。""}, {""parameter_name"": ""CPNODEIDIPV4"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“CPNODEIDTYPE”配置为“IPv4”时为必选参数。""}, {""parameter_name"": ""CPNODEIDIPV6"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“CPNODEIDTYPE”配置为“IPv6”时为必选参数。""}, {""parameter_name"": ""CPNODEFQDN"", ""data_type"": ""string"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“CPNODEIDTYPE”配置为“FQDN”时为必选参数。""}]","[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""路径管理"", ""PFCP路径管理"", ""CP节点管理"", ""CP节点信息""]",该命令用于动态查询CP的信息。查询结果包括CP Node ID，CP IP地址，系统与CP之间的路径状态。,1
CPNODE,CPNODE,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""PFCP接口管理"", ""CP管理"", ""CP节点管理""]",,4
CPNODEID,CPNODEID,entity,"[""CPNAME""]",6,"[{""parameter_name"": ""CPNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CPNODEIDTYPE"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""IPV4NODEID"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_optional"", ""default_value"": ""无"", ""condition"": ""该参数在“CPNODEIDTYPE”配置为“IPV4”时为可选参数。""}, {""parameter_name"": ""IPV6NODEID"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_optional"", ""default_value"": ""无"", ""condition"": ""该参数在“CPNODEIDTYPE”配置为“IPV6”时为可选参数。""}, {""parameter_name"": ""FQDNNODEID"", ""data_type"": ""string"", ""required_mode"": ""conditional_optional"", ""default_value"": ""无"", ""condition"": ""该参数在“CPNODEIDTYPE”配置为“FQDN”时为可选参数。""}, {""parameter_name"": ""LOCALEMERNODE"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""FALSE"", ""condition"": """"}]","[""PGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""会话管理"", ""会话地址管理"", ""SMF属性""]",该命令用于添加一个新的SMF实例，指定SMF的NodeID信息，用于系统基于SMF为UE分配IP地址。,4
CPPDPCHGINFO,CPPDPCHGINFO,entity,"[""SUBSCRIBERID""]",6,"[{""parameter_name"": ""SUBSCRIBERID"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""IMSI"", ""data_type"": ""string"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“SUBSCRIBERID”配置为“IMSI”时为必选参数。""}, {""parameter_name"": ""MSISDN"", ""data_type"": ""string"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“SUBSCRIBERID”配置为“MSISDN”时为必选参数。""}, {""parameter_name"": ""IPV4"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“SUBSCRIBERID”配置为“IPv4”时为必选参数。""}, {""parameter_name"": ""IPV6"", ""data_type"": ""ip_address"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“SUBSCRIBERID”配置为“IPv6”时为必选参数。""}, {""parameter_name"": ""NSAPI"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-C"", ""SMF""]","[""UNC""]","[""业务服务管理"", ""会话管理"", ""计费管理"", ""计费维护"", ""用户计费信息""]",该命令用于查询用户在内容计费及PDP计费情况下的上下文信息，检查话单信息或CCR消息信息。,1
CPPOINT,CPPOINT,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""PFCP接口管理"", ""CP管理"", ""CP端点管理""]",,3
CPTEIDUALLOC,CPTEIDUALLOC,entity,[],0,[],"[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""会话管理"", ""GTP隧道管理"", ""CP分配TEID-U控制""]",此命令用于查询CP分配TEID-U功能的开关。,2
CPU,CPU,entity,[],1,"[{""parameter_name"": ""RESOURCENAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务平台功能管理"", ""系统管理"", ""资源管理"", ""VM管理""]",该命令用于显示资源的CPU使用率信息。,2
CPUABILITYCFG,CPUABILITYCFG,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""权重分配管理"", ""CPU能力系数策略""]",,4
CPUCAPABILITY,CPUCAPABILITY,entity,"[""CPUTYPE"", ""CPUVERSION"", ""CPUFREQUENCY"", ""CAPABILITY"", ""SERVICEINSTANCE""]",5,"[{""parameter_name"": ""CPUTYPE"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CPUVERSION"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CPUFREQUENCY"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CAPABILITY"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""SERVICEINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务维护功能管理"", ""操作维护"", ""系统调测"", ""CPU能力基线信息""]",该命令用于添加指定CPU信息所对应的能力基线值，指定CPU信息包含CPU类型、CPU代数以及CPU主频率。,8
CPUECOPOLICY,CPUECOPOLICY,entity,"[""MEID""]",1,"[{""parameter_name"": ""MEID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""操作维护"", ""CPU节能策略""]",使用CPU节能功能时，通过此命令可以查询全局的调频和休眠策略。,4
CPUECOVMSINFO,CPUECOVMSINFO,entity,"[""MEID""]",1,"[{""parameter_name"": ""MEID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""操作维护"", ""CPU节能策略""]",该命令用于在开启节能策略后，查询当前VM的CPU节能策略。,2
CPUGENTURBO,CPUGENTURBO,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""权重分配管理"", ""CPU代际睿频""]",,2
CRACTRL,CRACTRL,entity,[],0,[],"[""PGW-C"", ""SMF""]","[""UNC""]","[""业务服务管理"", ""会话管理"", ""PCC管理"", ""基本功能"", ""CRA控制""]",该命令用于查询实时位置上报的开关和本地Trigger的功能。,2
CREDITPOOLFUNC,CREDITPOOLFUNC,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""计费管理"", ""在线计费"", ""信用控制"", ""信用池功能控制""]",,2
CSCFGBYOMCM,CSCFGBYOMCM,entity,[],0,[],[],"[""UNC""]","[""平台服务管理"", ""操作维护"", ""扩展调测"", ""OM调测""]",,3
CSCFGCACHE,CSCFGCACHE,entity,[],0,[],[],"[""UNC""]","[""平台服务管理"", ""操作维护"", ""扩展调测"", ""OM调测""]",,1
CSCFGREBUILD,CSCFGREBUILD,entity,[],0,[],[],"[""UNC""]","[""平台服务管理"", ""操作维护"", ""扩展调测"", ""OM调测""]",,1
CSLOGFC,CSLOGFC,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""操作维护"", ""日志管理""]",,4
CSLOGLEVEL,CSLOGLEVEL,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""操作维护"", ""日志管理""]",,8
CTXSTARTRATING,CTXSTARTRATING,entity,"[""USERPROFILENAME"", ""CTXCHGPRMVT""]",3,"[{""parameter_name"": ""USERPROFILENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CTXCHGPRMVT"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""CTXRURRGRPNAME"", ""data_type"": ""string"", ""required_mode"": ""conditional_required"", ""default_value"": ""无"", ""condition"": ""该参数在“CTXCHGPRMVT”配置为“SPECIFIC”时为必选参数。""}]","[""PGW-C"", ""SMF""]","[""UNC""]","[""业务服务管理"", ""会话管理"", ""计费和策略的业务管理"", ""业务模板"", ""用户模板""]",该命令用于删除当前USERPROFILE下指定名字或者所有的计费属性。,2
CUINCONSCONFIG,CUINCONSCONFIG,entity,[],0,[],"[""PGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务控制策略"", ""配置校验控制"", ""CP和UP不一致的关键配置""]",该命令用来查看当前影响系统的SMF/PGW-C和UPF/PGW-U不一致的部分配置。,1
CUINCONSPOLICY,CUINCONSPOLICY,entity,[],0,[],"[""PGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务控制策略"", ""配置校验控制"", ""CP和UP关键配置不一致策略""]",查询SMF/PGW-C和UPF/PGW-U关键配置不一致的处理策略。,2
CURNRFINFO,CURNRFINFO,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""服务化接口管理"", ""注册与服务发现"", ""NRF管理"", ""NRF配置管理"", ""NRF实例配置管理""]",,1
CURRENTWEIGHT,CURRENTWEIGHT,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""接口管理"", ""权重分配管理"", ""展示当前权重信息""]",,1
CURSMFIEADAPTER,CURSMFIEADAPTER,entity,[],0,[],[],"[""UNC""]","[""业务服务管理"", ""会话管理"", ""接入管理"", ""接入控制"", ""业务功能灵活控制"", ""信元携带策略管理""]",,1
CUSTATECHK,CUSTATECHK,entity,[],0,[],"[""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务控制策略"", ""配置校验控制"", ""CP和UP关键配置不一致策略""]",查询SMF和UPF时间一致性检测参数。,2
DAMPROUTE,DAMPROUTE,entity,"[""AFTYPE""]",9,"[{""parameter_name"": ""VRFNAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""_public_"", ""condition"": """"}, {""parameter_name"": ""AFTYPE"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""PEERTYPE"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""ebgp"", ""condition"": """"}, {""parameter_name"": ""HALFLIFEREACHTIME"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""15"", ""condition"": """"}, {""parameter_name"": ""REUSE"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""750"", ""condition"": """"}, {""parameter_name"": ""SUPPRESS"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""2000"", ""condition"": """"}, {""parameter_name"": ""CEILING"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""16000"", ""condition"": """"}, {""parameter_name"": ""DAMPOLICYNAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""UPDATESTANDARD"", ""data_type"": ""boolean"", ""required_mode"": ""optional"", ""default_value"": ""FALSE"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""路由管理"", ""BGP管理"", ""振荡抑制路由""]",该命令用于增加路由振荡抑制的配置参数。,8
DATACHKPOLICY,DATACHKPOLICY,entity,"[""SERVICEINSTANCE""]",1,"[{""parameter_name"": ""SERVICEINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务公共功能管理"", ""操作维护"", ""配置管理"", ""配置检查""]",该命令用于查询APP配置数据检查功能使能信息。,4
DATAPLANEGIINFMODE,DATAPLANEGIINFMODE,entity,[],0,[],"[""PGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务控制策略"", ""数据转发控制"", ""入不转板功能开关""]",该命令用于查看用户面下行模式配置。,2
DATAPLANEINFMODE,DATAPLANEINFMODE,entity,[],0,[],"[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务控制策略"", ""数据转发控制"", ""入不转板总开关""]",该命令用于查看用户面IP模式配置。,2
DBCLUSTER,DBCLUSTER,entity,[],1,"[{""parameter_name"": ""CLUSTERID"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""集群管理""]",该命令用于查询CSDB的子集群信息。,2
DBDATAFEATURE,DBDATAFEATURE,entity,"[""INSTANCEID"", ""CSTYPE"", ""TBLID"", ""DATAFEATUREOPT""]",6,"[{""parameter_name"": ""INSTANCEID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""CSTYPE"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""TBLID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""DATAFEATUREOPT"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""ALL_FEATURE。"", ""condition"": """"}, {""parameter_name"": ""PLUGINID"", ""data_type"": """", ""required_mode"": ""conditional_required"", ""default_value"": ""无。"", ""condition"": ""该参数在\n“DATAFEATUREOPT”\n参数设置为\n“SPEC_PLUGINID”\n后生效。""}, {""parameter_name"": ""DATAFEATURE"", ""data_type"": """", ""required_mode"": ""conditional_required"", ""default_value"": ""无。"", ""condition"": ""该参数在\n“DATAFEATUREOPT”\n参数设置为\n“SPEC_FEATURE”\n后生效。""}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""数据特征管理""]",该命令用于查询CSDB的数据特征信息，包括数据特征值、数据特征在记录的偏移和数据特征的角色。,2
DBDRAGING,DBDRAGING,entity,[],2,"[{""parameter_name"": ""LDRINSTID"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""PDRINSTID"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""容灾管理""]",该命令用于查询CSDB容灾数据老化开关。,4
DBDRTBLNUM,DBDRTBLNUM,entity,"[""INSTANCEID""]",4,"[{""parameter_name"": ""INSTANCEID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""TABLEID"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""DRNODETYPE"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""容灾主本数据。"", ""condition"": """"}, {""parameter_name"": ""DRINSTID"", ""data_type"": """", ""required_mode"": ""conditional_optional"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""容灾管理""]",该命令用于查询CSDB容灾主备本记录数。,2
DBGCLICMDPRXY,DBGCLICMDPRXY,entity,"[""CLICMDSTRING"", ""SERVICEINSTANCE""]",2,"[{""parameter_name"": ""CLICMDSTRING"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""SERVICEINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务公共功能管理"", ""系统管理"", ""系统维护"", ""调试命令""]",该命令通过命令代理执行命令行调试命令。,2
DBGCLICMDPRXYREG,DBGCLICMDPRXYREG,entity,"[""SERVICEINSTANCE""]",1,"[{""parameter_name"": ""SERVICEINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务公共功能管理"", ""系统管理"", ""系统维护"", ""调试命令""]",该命令用于显示通过命令代理可执行命令行调试命令的白名单。,2
DBGCMDPRXY,DBGCMDPRXY,entity,"[""RUNAME"", ""SGID"", ""CMDMSG"", ""SERVICEINSTANCE""]",4,"[{""parameter_name"": ""RUNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""SGID"", ""data_type"": ""integer"", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""CMDMSG"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""SERVICEINSTANCE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""单体服务编排功能管理"", ""系统管理"", ""系统维护"", ""调试命令""]",该命令用于在APP VNFC上执行调试命令。完整的调试命令在“CMDMSG（调试命令字符串）”参数中下发，调试命令的详细帮助可通过如下步骤获取：,2
DBGDATA,DBGDATA,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""系统调测"", ""工程调测"", ""5G工程命令""]",,2
DBGDATAEX,DBGDATAEX,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""服务通信管理"", ""工程调测"", ""5G工程命令""]",,2
DBGHAFD,DBGHAFD,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""可靠性管理"", ""微服务可靠性管理""]",,2
DBGHAFG,DBGHAFG,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""可靠性管理"", ""微服务可靠性管理""]",,2
DBGSTAT,DBGSTAT,entity,"[""RUNAME"", ""PROCTYPE""]",9,"[{""parameter_name"": ""RUNAME"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""PROCTYPE"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""PROCNO"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""PARA1"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无说明：本参数含义和进程类型相关，详细请参见\n**[DSP DBGSTAT](查询调试信息（DSP DBGSTAT）_29627109.md)**\n输入参数补充说明。"", ""condition"": """"}, {""parameter_name"": ""PARA2"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无说明：本参数含义和进程类型相关，详细请参见\n**[DSP DBGSTAT](查询调试信息（DSP DBGSTAT）_29627109.md)**\n输入参数补充说明。"", ""condition"": """"}, {""parameter_name"": ""PARA3"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无说明：本参数含义和进程类型相关，详细请参见\n**[DSP DBGSTAT](查询调试信息（DSP DBGSTAT）_29627109.md)**\n输入参数补充说明。"", ""condition"": """"}, {""parameter_name"": ""PARA4"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无说明：本参数含义和进程类型相关，详细请参见\n**[DSP DBGSTAT](查询调试信息（DSP DBGSTAT）_29627109.md)**\n输入参数补充说明。"", ""condition"": """"}, {""parameter_name"": ""PARA5"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无说明：本参数含义和进程类型相关，详细请参见\n**[DSP DBGSTAT](查询调试信息（DSP DBGSTAT）_29627109.md)**\n输入参数补充说明。"", ""condition"": """"}, {""parameter_name"": ""PARA6"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无说明：本参数含义和进程类型相关，详细请参见\n**[DSP DBGSTAT](查询调试信息（DSP DBGSTAT）_29627109.md)**\n输入参数补充说明。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSLB功能管理"", ""操作维护"", ""系统调测"", ""公共调测"", ""调试信息""]",该命令用于查询CSLB系统内部运行信息，方便问题定位。内部运行信息不涉及用户敏感数据。,2
DBINSTANCE,DBINSTANCE,entity,"[""INSTANCEID""]",1,"[{""parameter_name"": ""INSTANCEID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""实例管理""]",![](复位CSDB子实例（RST DBINSTANCE）_29626988.assets/notice_3.0-zh-cn.png),4
DBNODE,DBNODE,entity,"[""CLUSTERID"", ""NODETYPE""]",5,"[{""parameter_name"": ""CLUSTERID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""RUNAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""NODETYPE"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""NODENO"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}, {""parameter_name"": ""NODESTATE"", ""data_type"": """", ""required_mode"": ""optional"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""节点管理""]",该命令用于查询CSDB的节点信息，包括节点位置信息、状态信息、负载信息等。,2
DBPARAS,DBPARAS,entity,[],0,[],[],"[""UNC""]","[""平台服务管理"", ""数据服务功能管理"", ""参数管理""]",,2
DBPLUGIN,DBPLUGIN,entity,"[""INSTANCEID""]",1,"[{""parameter_name"": ""INSTANCEID"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无。"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""插件管理""]",该命令用于显示CSDB插件的信息，包括插件的标识、连接状态、版本号等。,2
DBRECORDS,DBRECORDS,entity,[],0,[],[],"[""UNC""]","[""平台服务管理"", ""数据服务功能管理"", ""参数管理""]",,1
DBRUMEM,DBRUMEM,entity,"[""CLUSTERTYPE"", ""RUTYPE"", ""MEMSIZE""]",3,"[{""parameter_name"": ""CLUSTERTYPE"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""RUTYPE"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""MEMSIZE"", ""data_type"": """", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""CSDB功能管理"", ""CSDB管理"", ""内存管理""]",![](增加CSDB RU内存信息(ADD DBRUMEM)_58702520.assets/notice_3.0-zh-cn.png),8
